onset	duration	trial_type	value	sample
2.2	0.0009765625	Stimulus/S 77	1	440
2.235	0.0009765625	Stimulus/S111	3	447
2.66	0.0009765625	Stimulus/S111	3	532
2.81	0.0009765625	Stimulus/S111	3	562
3.075	0.0009765625	Stimulus/S111	3	615
3.455	0.0009765625	Stimulus/S111	3	691
3.975	0.0009765625	Stimulus/S111	3	795
4.405	0.0009765625	Stimulus/S111	3	881
5.195	0.0009765625	Stimulus/S111	3	1039
5.835	0.0009765625	Stimulus/S111	3	1167
6.205	0.0009765625	Stimulus/S111	3	1241
6.575	0.0009765625	Stimulus/S111	3	1315
6.74	0.0009765625	Stimulus/S111	3	1348
7.365	0.0009765625	Stimulus/S111	3	1473
7.655	0.0009765625	Stimulus/S111	3	1531
7.805	0.0009765625	Stimulus/S111	3	1561
9.015	0.0009765625	Stimulus/S111	3	1803
9.205	0.0009765625	Stimulus/S111	3	1841
10.265	0.0009765625	Stimulus/S111	3	2053
10.49	0.0009765625	Stimulus/S111	3	2098
10.69	0.0009765625	Stimulus/S111	3	2138
11.355	0.0009765625	Stimulus/S111	3	2271
11.805	0.0009765625	Stimulus/S111	3	2361
12.32	0.0009765625	Stimulus/S111	3	2464
12.555	0.0009765625	Stimulus/S111	3	2511
12.74	0.0009765625	Stimulus/S111	3	2548
13.59	0.0009765625	Stimulus/S111	3	2718
14.105	0.0009765625	Stimulus/S111	3	2821
14.505	0.0009765625	Stimulus/S111	3	2901
14.905	0.0009765625	Stimulus/S111	3	2981
15.305	0.0009765625	Stimulus/S111	3	3061
16.665	0.001220703125	Stimulus/S111	3	3333
16.87	0.0009765625	Stimulus/S111	3	3374
17.35	0.0009765625	Stimulus/S111	3	3470
18.1	0.001220703125	Stimulus/S111	3	3620
18.555	0.0009765625	Stimulus/S111	3	3711
18.935	0.0009765625	Stimulus/S111	3	3787
19.085	0.0009765625	Stimulus/S111	3	3817
19.62	0.0009765625	Stimulus/S111	3	3924
19.82	0.0009765625	Stimulus/S111	3	3964
20.445	0.0009765625	Stimulus/S111	3	4089
20.735	0.001220703125	Stimulus/S111	3	4147
21.4	0.0009765625	Stimulus/S111	3	4280
21.85	0.0009765625	Stimulus/S111	3	4370
22.44	0.0009765625	Stimulus/S111	3	4488
22.885	0.0009765625	Stimulus/S111	3	4577
23.835	0.0009765625	Stimulus/S111	3	4767
24.565	0.0009765625	Stimulus/S111	3	4913
25.05	0.0009765625	Stimulus/S111	3	5010
27.05	0.0009765625	Stimulus/S111	3	5410
27.28	0.0009765625	Stimulus/S111	3	5456
27.485	0.0009765625	Stimulus/S111	3	5497
27.635	0.0009765625	Stimulus/S111	3	5527
28.315	0.0009765625	Stimulus/S111	3	5663
28.815	0.0009765625	Stimulus/S111	3	5763
30.315	0.0009765625	Stimulus/S111	3	6063
30.615	0.0009765625	Stimulus/S111	3	6123
31.335	0.0009765625	Stimulus/S111	3	6267
31.565	0.0009765625	Stimulus/S111	3	6313
31.75	0.0009765625	Stimulus/S111	3	6350
31.97	0.0009765625	Stimulus/S111	3	6394
32.4	0.0009765625	Stimulus/S111	3	6480
33.425	0.0009765625	Stimulus/S111	3	6685
34.27	0.0009765625	Stimulus/S111	3	6854
34.5	0.0009765625	Stimulus/S111	3	6900
34.65	0.0009765625	Stimulus/S111	3	6930
34.83	0.001220703125	Stimulus/S111	3	6966
35.13	0.0009765625	Stimulus/S111	3	7026
35.315	0.0009765625	Stimulus/S111	3	7063
35.48	0.0009765625	Stimulus/S111	3	7096
37.17	0.0009765625	Stimulus/S111	3	7434
37.81	0.0009765625	Stimulus/S111	3	7562
38.23	0.0009765625	Stimulus/S111	3	7646
38.73	0.0009765625	Stimulus/S111	3	7746
39.06	0.0009765625	Stimulus/S111	3	7812
39.91	0.0009765625	Stimulus/S111	3	7982
40.68	0.0009765625	Stimulus/S111	3	8136
40.91	0.0009765625	Stimulus/S111	3	8182
41.11	0.0009765625	Stimulus/S111	3	8222
42.2	0.0009765625	Stimulus/S111	3	8440
42.51	0.0009765625	Stimulus/S111	3	8502
43.35	0.0009765625	Stimulus/S111	3	8670
44.1	0.001220703125	Stimulus/S111	3	8820
44.93	0.0009765625	Stimulus/S111	3	8986
45.375	0.0009765625	Stimulus/S111	3	9075
45.61	0.0009765625	Stimulus/S111	3	9122
46.16	0.0009765625	Stimulus/S111	3	9232
46.625	0.0009765625	Stimulus/S111	3	9325
46.975	0.0009765625	Stimulus/S111	3	9395
47.16	0.0009765625	Stimulus/S111	3	9432
47.61	0.0009765625	Stimulus/S111	3	9522
47.99	0.0009765625	Stimulus/S111	3	9598
48.34	0.0009765625	Stimulus/S111	3	9668
48.76	0.0009765625	Stimulus/S111	3	9752
49.21	0.0009765625	Stimulus/S111	3	9842
50.38	0.0009765625	Stimulus/S111	3	10076
51.145	0.0009765625	Stimulus/S111	3	10229
51.475	0.0009765625	Stimulus/S111	3	10295
51.81	0.001220703125	Stimulus/S111	3	10362
52.38	0.0009765625	Stimulus/S111	3	10476
53.075	0.0009765625	Stimulus/S111	3	10615
54.495	0.0009765625	Stimulus/S111	3	10899
55.605	0.0009765625	Stimulus/S111	3	11121
55.855	0.0009765625	Stimulus/S111	3	11171
56.625	0.0009765625	Stimulus/S111	3	11325
56.825	0.0009765625	Stimulus/S111	3	11365
57.44	0.0009765625	Stimulus/S111	3	11488
57.64	0.0009765625	Stimulus/S111	3	11528
57.805	0.0009765625	Stimulus/S111	3	11561
58.775	0.0009765625	Stimulus/S111	3	11755
59.355	0.0009765625	Stimulus/S111	3	11871
59.555	0.0009765625	Stimulus/S111	3	11911
59.735	0.0009765625	Stimulus/S111	3	11947
60.155	0.0009765625	Stimulus/S111	3	12031
61.325	0.0009765625	Stimulus/S111	3	12265
61.525	0.0009765625	Stimulus/S111	3	12305
61.885	0.0009765625	Stimulus/S111	3	12377
62.04	0.0009765625	Stimulus/S111	3	12408
62.73	0.0009765625	Stimulus/S111	3	12546
63.155	0.0009765625	Stimulus/S111	3	12631
63.775	0.0009765625	Stimulus/S111	3	12755
64.07	0.0009765625	Stimulus/S111	3	12814
64.505	0.0009765625	Stimulus/S111	3	12901
64.985	0.0009765625	Stimulus/S111	3	12997
65.39	0.0009765625	Stimulus/S111	3	13078
65.715	0.0009765625	Stimulus/S111	3	13143
66.665	0.0009765625	Stimulus/S111	3	13333
66.955	0.0009765625	Stimulus/S111	3	13391
67.155	0.0009765625	Stimulus/S111	3	13431
67.39	0.0009765625	Stimulus/S111	3	13478
67.735	0.0009765625	Stimulus/S111	3	13547
68.115	0.0009765625	Stimulus/S111	3	13623
68.605	0.0009765625	Stimulus/S111	3	13721
69.14	0.001220703125	Stimulus/S111	3	13828
69.32	0.001220703125	Stimulus/S111	3	13864
69.5	0.0009765625	Stimulus/S111	3	13900
69.955	0.0009765625	Stimulus/S111	3	13991
70.405	0.001220703125	Stimulus/S111	3	14081
70.57	0.0009765625	Stimulus/S111	3	14114
70.92	0.0009765625	Stimulus/S111	3	14184
71.98	0.0009765625	Stimulus/S111	3	14396
72.19	0.0009765625	Stimulus/S111	3	14438
72.835	0.0009765625	Stimulus/S111	3	14567
73.435	0.0009765625	Stimulus/S111	3	14687
74.015	0.0009765625	Stimulus/S111	3	14803
74.4	0.0009765625	Stimulus/S111	3	14880
76.2	0.0009765625	Stimulus/S111	3	15240
76.52	0.0009765625	Stimulus/S111	3	15304
77.2	0.0009765625	Stimulus/S111	3	15440
78.14	0.0009765625	Stimulus/S111	3	15628
78.335	0.0009765625	Stimulus/S111	3	15667
78.785	0.0009765625	Stimulus/S111	3	15757
79.185	0.001220703125	Stimulus/S111	3	15837
79.315	0.0009765625	Stimulus/S111	3	15863
80.355	0.0009765625	Stimulus/S111	3	16071
80.53	0.0009765625	Stimulus/S111	3	16106
80.735	0.0009765625	Stimulus/S111	3	16147
80.865	0.0009765625	Stimulus/S111	3	16173
81.35	0.0009765625	Stimulus/S111	3	16270
81.57	0.0009765625	Stimulus/S111	3	16314
82.3	0.001220703125	Stimulus/S111	3	16460
83.635	0.0009765625	Stimulus/S111	3	16727
83.88	0.0009765625	Stimulus/S111	3	16776
84.6	0.0009765625	Stimulus/S111	3	16920
85.31	0.0009765625	Stimulus/S111	3	17062
85.745	0.001220703125	Stimulus/S111	3	17149
85.93	0.0009765625	Stimulus/S111	3	17186
86.365	0.0009765625	Stimulus/S111	3	17273
87.41	0.0009765625	Stimulus/S111	3	17482
87.63	0.0009765625	Stimulus/S111	3	17526
88.495	0.001220703125	Stimulus/S111	3	17699
89.11	0.0009765625	Stimulus/S111	3	17822
89.265	0.0009765625	Stimulus/S111	3	17853
89.745	0.001220703125	Stimulus/S111	3	17949
91.175	0.0009765625	Stimulus/S111	3	18235
91.71	0.0009765625	Stimulus/S111	3	18342
91.83	0.0009765625	Stimulus/S111	3	18366
92.68	0.0009765625	Stimulus/S111	3	18536
93.06	0.0009765625	Stimulus/S111	3	18612
93.23	0.0009765625	Stimulus/S111	3	18646
93.83	0.0009765625	Stimulus/S111	3	18766
93.98	0.0009765625	Stimulus/S111	3	18796
95.71	0.0009765625	Stimulus/S111	3	19142
96.06	0.0009765625	Stimulus/S111	3	19212
96.26	0.0009765625	Stimulus/S111	3	19252
97.0	0.0009765625	Stimulus/S111	3	19400
97.925	0.0009765625	Stimulus/S111	3	19585
98.375	0.0009765625	Stimulus/S111	3	19675
99.085	0.0009765625	Stimulus/S111	3	19817
99.36	0.0009765625	Stimulus/S111	3	19872
99.625	0.0009765625	Stimulus/S111	3	19925
100.01	0.0009765625	Stimulus/S111	3	20002
101.27	0.0009765625	Stimulus/S111	3	20254
101.96	0.0009765625	Stimulus/S111	3	20392
102.31	0.001220703125	Stimulus/S111	3	20462
102.525	0.0009765625	Stimulus/S111	3	20505
102.875	0.0009765625	Stimulus/S111	3	20575
103.915	0.0009765625	Stimulus/S111	3	20783
104.355	0.0009765625	Stimulus/S111	3	20871
104.825	0.0009765625	Stimulus/S111	3	20965
105.985	0.0009765625	Stimulus/S111	3	21197
106.275	0.0009765625	Stimulus/S111	3	21255
106.745	0.0009765625	Stimulus/S111	3	21349
107.48	0.0009765625	Stimulus/S111	3	21496
107.995	0.0009765625	Stimulus/S111	3	21599
108.475	0.0009765625	Stimulus/S111	3	21695
109.655	0.0009765625	Stimulus/S111	3	21931
109.94	0.0009765625	Stimulus/S111	3	21988
110.305	0.0009765625	Stimulus/S111	3	22061
110.605	0.0009765625	Stimulus/S111	3	22121
110.99	0.0009765625	Stimulus/S111	3	22198
111.12	0.0009765625	Stimulus/S111	3	22224
112.07	0.0009765625	Stimulus/S111	3	22414
112.34	0.001220703125	Stimulus/S111	3	22468
112.82	0.0009765625	Stimulus/S111	3	22564
114.51	0.0009765625	Stimulus/S111	3	22902
114.685	0.0009765625	Stimulus/S111	3	22937
115.205	0.0009765625	Stimulus/S111	3	23041
115.455	0.0009765625	Stimulus/S111	3	23091
115.755	0.0009765625	Stimulus/S111	3	23151
116.19	0.0009765625	Stimulus/S111	3	23238
116.47	0.0009765625	Stimulus/S111	3	23294
117.105	0.0009765625	Stimulus/S111	3	23421
117.485	0.001220703125	Stimulus/S111	3	23497
117.82	0.001220703125	Stimulus/S111	3	23564
118.25	0.0009765625	Stimulus/S111	3	23650
