onset	duration	trial_type	value	sample
2.2	0.00099945068359375	Stimulus/S 77	1	440
2.285	0.00099945068359375	Stimulus/S111	3	457
2.635	0.00099945068359375	Stimulus/S111	3	527
2.8	0.00099945068359375	Stimulus/S111	3	560
3.065	0.00099945068359375	Stimulus/S111	3	613
3.535	0.00099945068359375	Stimulus/S111	3	707
4.05	0.00099945068359375	Stimulus/S111	3	810
4.38	0.00099945068359375	Stimulus/S111	3	876
4.53	0.00099945068359375	Stimulus/S111	3	906
4.865	0.00099945068359375	Stimulus/S111	3	973
5.45	0.00099945068359375	Stimulus/S111	3	1090
5.665	0.00099945068359375	Stimulus/S111	3	1133
6.165	0.00099945068359375	Stimulus/S111	3	1233
6.53	0.00099945068359375	Stimulus/S111	3	1306
6.93	0.00099945068359375	Stimulus/S111	3	1386
7.115	0.00099945068359375	Stimulus/S111	3	1423
7.815	0.00099945068359375	Stimulus/S111	3	1563
8.03	0.00099945068359375	Stimulus/S111	3	1606
8.23	0.00099945068359375	Stimulus/S111	3	1646
8.945	0.00099945068359375	Stimulus/S111	3	1789
9.13	0.00099945068359375	Stimulus/S111	3	1826
9.35	0.001007080078125	Stimulus/S111	3	1870
9.815	0.00099945068359375	Stimulus/S111	3	1963
9.945	0.00099945068359375	Stimulus/S111	3	1989
10.545	0.00099945068359375	Stimulus/S111	3	2109
10.745	0.00099945068359375	Stimulus/S111	3	2149
10.98	0.00099945068359375	Stimulus/S111	3	2196
11.415	0.00099945068359375	Stimulus/S111	3	2283
11.815	0.00099945068359375	Stimulus/S111	3	2363
11.945	0.00099945068359375	Stimulus/S111	3	2389
12.345	0.00099945068359375	Stimulus/S111	3	2469
12.53	0.00099945068359375	Stimulus/S111	3	2506
12.78	0.00099945068359375	Stimulus/S111	3	2556
13.815	0.00099945068359375	Stimulus/S111	3	2763
13.965	0.00099945068359375	Stimulus/S111	3	2793
14.495	0.00099945068359375	Stimulus/S111	3	2899
14.96	0.00099945068359375	Stimulus/S111	3	2992
15.36	0.00099945068359375	Stimulus/S111	3	3072
15.86	0.00099945068359375	Stimulus/S111	3	3172
16.53	0.0009918212890625	Stimulus/S111	3	3306
17.13	0.001007080078125	Stimulus/S111	3	3426
17.745	0.001007080078125	Stimulus/S111	3	3549
18.245	0.001007080078125	Stimulus/S111	3	3649
18.695	0.0009918212890625	Stimulus/S111	3	3739
18.96	0.0009918212890625	Stimulus/S111	3	3792
19.11	0.001007080078125	Stimulus/S111	3	3822
19.425	0.0009918212890625	Stimulus/S111	3	3885
